MeetingPlaceRef,CaseRef,MeetingPlace_Place,Inversion,Location
MP/JO/606,C/JO/3093,House,0,her own house
MP/JO/622,C/EGD/2446,Loan,0,Pittenweem
MP/JO/623,C/EGD/830,Loan,0,Pittenweem
MP/JO/624,C/EGD/831,Moor,0,Ceres Moor
MP/JO/625,C/EGD/2446,Tolbooth,0,Laigh Tolbooth
MP/JO/626,C/EGD/2444,House,0,McGregor's house
MP/JO/646,C/EGD/1533,Moor,0,Corsmore
MP/JO/647,C/EGD/1533,,0,between Kilmachalmok and Edinmore
MP/JO/648,C/EGD/1533,Moor,0,between Mikell Kilmorie and Killeferne Moore
MP/JO/649,C/EGD/1533,,0,Lochfyne
MP/JO/650,C/EGD/1527,House,0,own house
MP/JO/651,C/EGD/1527,,0,Cregandow or Bute quay
MP/JO/652,C/JO/3246,Field,0,Faldtombuie
MP/JO/653,C/JO/3246,Yard,0,Caleyaird
MP/JO/654,C/JO/3246,Hilltop,0,Kilmory
MP/JO/655,C/JO/3247,Hilltop,0,"Ardturr and Glackiriska, Appin"
MP/JO/656,C/JO/3247,,0,Lismore
MP/JO/657,C/JO/3247,Fairy mound,0,Shian of Barcaldine
MP/JO/658,C/JO/3248,,0,Knockanrioch
MP/JO/659,C/JO/3248,,0,Bute quay
MP/JO/66,C/EGD/604,Shore,0,Bute Quau
MP/JO/660,C/JO/3071,House,0,Neighbour's house
MP/LA/1,C/EGD/160,Hilltop,0,Dounhill of Spott
MP/LA/10,C/EGD/166,Valley,0,Den betwixt Nidrie and Edmestoun
MP/LA/100,C/EGD/364,Dam,0,Newtown Deinhead
MP/LA/102,C/EGD/384,Shore,0,on the other side of the water
MP/LA/103,C/EGD/384,House,0,her house
MP/LA/105,C/EGD/381,Shore,0,near the bridge at the bank of John Ballingtyne's
MP/LA/106,C/EGD/381,Yard,0,at her farm
MP/LA/107,C/EGD/381,Road,0,between Skloutford and nether Liberton
MP/LA/108,C/EGD/382,Dam,0,Causland dam
MP/LA/109,C/EGD/382,Yard,0,back of Dalkeith yards
MP/LA/110,C/EGD/382,Mill,0,Millgreen of Dalkeith
MP/LA/111,C/EGD/385,Barn,0,her byre while milking
MP/LA/112,C/EGD/390,Yard,0,just outside her house
MP/LA/113,C/EGD/388,,0,Gilmerton Ward
MP/LA/114,C/EGD/389,House,0,his own
MP/LA/115,C/EGD/389,Yard,0,Lady Laytoun's
MP/LA/116,C/EGD/389,Barn,0,drawing down of Robert Mitchell's
MP/LA/117,C/EGD/391,Yard,0,neighbours yard dyke
MP/LA/118,C/EGD/391,,0,Carthall
MP/LA/119,C/EGD/386,Bed,0,her bed
MP/LA/12,C/EGD/166,Hilltop,0,"a) Hugstoun Hillis, 12:00"
MP/LA/120,C/EGD/386,,0,stick gathering
MP/LA/121,C/EGD/404,Hilltop,0,
MP/LA/122,C/EGD/392,Hilltop,0,
MP/LA/123,C/EGD/387,Hilltop,0,
MP/LA/124,C/EGD/387,Bed,0,her own
